ncid,vote_method_2020
AA100708,Absentee
AA101401,In-Person
AA101781,Absentee
AA103035,Absentee
AA103944,Absentee
AA104247,Absentee
AA105520,Absentee
AA105969,Absentee
AA106083,Absentee
AA106527,Absentee
AA107720,Absentee
AA107771,Absentee
AA109310,Absentee
AA109449,Absentee
AA109450,Absentee
AA109597,Absentee
AA109874,Absentee
AA109957,Absentee
AA110064,Absentee
AA110067,Absentee
AA110501,Absentee
AA111740,Absentee
AA111742,Absentee
AA111854,Absentee
AA112559,In-Person
AA112600,Absentee
AA113072,Absentee
AA113626,Absentee
AA113698,Absentee
AA113791,Absentee
AA113947,Absentee
AA114091,Absentee
AA114141,Absentee
AA114603,Absentee
AA114699,Absentee
AA114946,Absentee
AA115907,Absentee
AA116442,Absentee
AA116615,In-Person
AA116967,Absentee
AA117398,Absentee
AA117457,Absentee
AA117586,In-Person
AA118542,Absentee
AA118953,In-Person
AA118972,Absentee
AA119125,Absentee
AA119568,Absentee
AA119933,Absentee
AA119943,Absentee
AA120443,In-Person
AA120569,Absentee
AA120573,Absentee
AA120759,Absentee
AA120761,Absentee
AA120762,Absentee
AA120784,Absentee
AA120872,Absentee
AA120920,Absentee
AA121134,Absentee
AA121482,Absentee
AA121673,Absentee
AA121687,Absentee
AA122198,Absentee
AA122369,Absentee
AA123095,Absentee
AA123918,Absentee
AA124458,Absentee
AA124469,Absentee
AA124493,Absentee
AA124785,Absentee
AA124832,Absentee
AA124865,Absentee
AA124988,In-Person
AA124989,Absentee
AA125188,Absentee
AA125311,Absentee
AA125599,Absentee
AA125763,Absentee
AA125821,Absentee
AA125989,Absentee
AA126202,Absentee
AA126302,Absentee
AA126424,Absentee
AA126670,Absentee
AA126701,Absentee
AA126742,Absentee
AA126870,Absentee
AA126940,Absentee
AA127223,Absentee
AA127304,Absentee
AA127322,Absentee
AA127889,Absentee
AA128304,Absentee
AA128672,Absentee
AA129019,Absentee
AA129294,Absentee
AA129339,Absentee
AA129562,Absentee
AA129671,Absentee
AA129954,Absentee
AA130107,Absentee
AA130371,Absentee
AA130472,Absentee
AA130634,Absentee
AA130680,In-Person
AA130705,Absentee
AA130963,Absentee
AA130974,Absentee
AA131026,Absentee
AA131041,Absentee
AA131057,Absentee
AA131249,Absentee
AA131258,In-Person
AA131280,Absentee
AA131659,Absentee
AA131995,Absentee
AA132041,In-Person
AA132055,Absentee
AA132066,Absentee
AA132098,Absentee
AA132206,Absentee
AA132369,In-Person
AA133080,Absentee
AA133127,Absentee
AA133234,Absentee
AA133274,Absentee
AA133468,Absentee
AA133750,Absentee
AA133963,Absentee
AA134102,Absentee
AA134323,Absentee
AA134413,Absentee
AA134493,Absentee
AA134647,Absentee
AA134653,Absentee
AA134656,Absentee
AA134668,Absentee
AA134696,Absentee
AA134778,Absentee
AA134779,Absentee
AA134794,Absentee
AA134992,Absentee
AA135006,Absentee
AA135013,Absentee
AA135114,Absentee
AA135191,In-Person
AA135219,Absentee
AA135244,Absentee
AA135322,Absentee
AA135354,Absentee
AA135448,Absentee
AA135460,Absentee
AA135604,Absentee
AA135615,Absentee
AA135671,Absentee
AA135702,Absentee
AA135716,Absentee
AA135911,Absentee
AA136245,Absentee
AA136255,Absentee
AA136301,Absentee
AA136393,Absentee
AA136403,Absentee
AA136680,Absentee
AA136681,Absentee
AA136735,Absentee
AA136754,Absentee
AA136807,Absentee
AA136808,Absentee
AA136888,In-Person
AA136958,Absentee
AA137236,Absentee
AA137245,Absentee
AA137330,Absentee
AA137787,Absentee
AA137997,Absentee
AA138017,Absentee
AA138241,In-Person
AA138298,Absentee
AA138402,Absentee
AA138436,Absentee
AA138479,Absentee
AA138495,Absentee
AA138496,Absentee
AA138562,Absentee
AA138712,Absentee
AA138924,Absentee
AA139198,Absentee
AA139315,Absentee
AA139627,Absentee
AA139629,Absentee
AA139689,Absentee
AA139716,Absentee
AA140198,Absentee
AA140435,Absentee
AA140462,Absentee
AA14064,Absentee
AA140658,Absentee
AA140757,Absentee
AA140772,Absentee
AA140791,Absentee
AA140848,Absentee
AA140886,Absentee
AA141066,Absentee
AA141144,Absentee
AA141244,Absentee
AA141257,Absentee
AA141289,Absentee
AA141397,In-Person
AA141418,Absentee
AA141811,Absentee
AA142099,Absentee
AA142427,Absentee
AA142690,Absentee
AA142853,Absentee
AA143049,Absentee
AA143203,Absentee
AA143233,Absentee
AA143263,Absentee
AA143425,Absentee
AA143793,Absentee
AA143851,Absentee
AA143873,Absentee
AA144201,Absentee
AA144272,Absentee
AA144552,In-Person
AA144604,Absentee
AA144629,Absentee
AA144756,Absentee
AA144968,Absentee
AA145122,Absentee
AA145146,Absentee
AA145195,Absentee
AA145205,Absentee
AA145215,Absentee
AA145404,In-Person
AA145416,Absentee
AA145571,In-Person
AA145708,Absentee
AA145760,Absentee
AA145859,Absentee
AA145945,Absentee
AA146105,Absentee
AA146171,Other
AA146200,Absentee
AA146547,Absentee
AA146548,Absentee
AA146555,Absentee
AA146575,In-Person
AA146592,Absentee
AA146732,Absentee
AA147005,Absentee
AA147048,Absentee
AA147138,Absentee
AA147159,Absentee
AA147219,Absentee
AA147239,Absentee
AA147536,Absentee
AA147665,Absentee
AA147696,In-Person
AA147743,Absentee
AA147768,Absentee
AA147870,Other
AA147895,Absentee
AA147938,Absentee
AA147968,Absentee
AA147972,Absentee
AA148018,Absentee
AA148029,Absentee
AA148072,Absentee
AA148140,Absentee
AA148210,Absentee
AA148238,Absentee
AA148367,Absentee
AA148376,Absentee
AA148401,Absentee
AA148525,Absentee
AA148609,Absentee
AA148617,Absentee
AA148711,Absentee
AA148841,Absentee
AA148847,Absentee
AA149016,Absentee
AA149092,Absentee
AA149191,Absentee
